Category,Scheme Name,Description,Official Link
Energy & Environment,PM Surya Ghar Muft Bijli Yojana,Subsidy for rooftop solar panels providing up to 300 units free electricity monthly,https://www.pmsuryaghar.gov.in
Energy & Environment,PM KUSUM Scheme,Promotes solar pumps and renewable energy use in agriculture,https://pmkusum.mnre.gov.in
Energy & Environment,Solar Power Scheme for PVTG Habitations,Provides solar power to Particularly Vulnerable Tribal Group villages,https://mnre.gov.in
Entrepreneurs & MSME,PM Vishwakarma Scheme,Financial support and skill training for traditional artisans and craftsmen,https://pmvishwakarma.gov.in
Technology & Innovation,IndiaAI Mission,Government initiative to develop AI infrastructure research and innovation ecosystem,https://indiaai.gov.in
Manufacturing & Industry,India Semiconductor Mission,Supports semiconductor manufacturing and chip ecosystem development in India,https://ism.gov.in
Healthcare,Ayushman Bharat Digital Mission,Creates digital health ID and interoperable health records for citizens,https://abdm.gov.in
Agriculture & Farmers,Digital Agriculture Mission,Promotes AI based agriculture services and digital farmer database,https://agricoop.gov.in
Rural Development,PM JANMAN Scheme,Development program for Particularly Vulnerable Tribal Groups including housing and connectivity,https://tribal.nic.in
Energy & Environment,National Green Hydrogen Mission,Promotes production and adoption of green hydrogen energy in India,https://mnre.gov.in
Women & Child Development,Namo Drone Didi Scheme,Provides drones to women self help groups for agricultural services,https://rural.nic.in
Women & Child Development,Lakhpati Didi Scheme,Supports women self help groups to achieve income of ₹1 lakh annually,https://nrldc.nic.in
Urban Development,Smart Cities Mission 2.0,Upgrades urban infrastructure with digital governance and smart technologies,https://smartcities.gov.in
Digital India,BharatNet Phase II,Expands high speed broadband connectivity to rural villages,https://bharatnet.gov.in
